DayPI,DuckID,Strain,CloacaVirus,OropharyngeaVirus
1,1,H6N8,0,5.801134331
2,1,H6N8,7.588623357,4.137105508
3,1,H6N8,6.252032464,5.39049496
4,1,H6N8,6.490901117,5.216040325
5,1,H6N8,5.226775995,4.043168397
6,1,H6N8,NA,NA
7,1,H6N8,4.692676421,2.647531319
8,1,H6N8,NA,NA
9,1,H6N8,3.809667578,0
10,1,H6N8,NA,NA
11,1,H6N8,0,0
12,1,H6N8,NA,NA
13,1,H6N8,NA,NA
14,1,H6N8,0,0
1,2,H6N8,0,4.080743241
2,2,H6N8,5.012062599,3.81771933
3,2,H6N8,6.176882775,4.00827747
4,2,H6N8,6.292291225,3.70231088
5,2,H6N8,5.943381956,4.067323654
6,2,H6N8,NA,NA
7,2,H6N8,4.306192308,0
8,2,H6N8,NA,NA
9,2,H6N8,3.246044912,0
10,2,H6N8,NA,NA
11,2,H6N8,2.915923065,0
12,2,H6N8,NA,NA
13,2,H6N8,NA,NA
14,2,H6N8,0,0
1,3,H6N8,0,3.055486773
2,3,H6N8,3.492965318,4.60947498
3,3,H6N8,6.429171016,3.651316448
4,3,H6N8,4.899338065,4.051220149
5,3,H6N8,4.088794994,3.632529026
6,3,H6N8,NA,NA
7,3,H6N8,5.301925684,2.384507409
8,3,H6N8,NA,NA
9,3,H6N8,4.129053755,0
10,3,H6N8,NA,NA
11,3,H6N8,0,0
12,3,H6N8,NA,NA
13,3,H6N8,NA,NA
14,3,H6N8,0,0
1,4,H6N8,0,6.026583397
2,4,H6N8,6.697562761,4.045852314
3,4,H6N8,6.270819886,4.410865088
4,4,H6N8,5.964853296,4.013645305
5,4,H6N8,6.101733086,4.606791063
6,4,H6N8,NA,NA
7,4,H6N8,3.903604689,0
8,4,H6N8,NA,NA
9,4,H6N8,0,0
10,4,H6N8,NA,NA
11,4,H6N8,0,0
12,4,H6N8,NA,NA
13,4,H6N8,NA,NA
14,4,H6N8,0,0
1,5,H6N8,0,3.071590278
2,5,H6N8,0,3.552011502
3,5,H6N8,6.294975143,5.564949595
4,5,H6N8,5.543478255,3.305091096
5,5,H6N8,5.809186083,4.526273539
6,5,H6N8,NA,NA
7,5,H6N8,5.183833316,0
8,5,H6N8,NA,NA
9,5,H6N8,0,0
10,5,H6N8,NA,NA
11,5,H6N8,0,0
12,5,H6N8,NA,NA
13,5,H6N8,NA,NA
14,5,H6N8,0,0
1,6,H3N8,0,4.158576847
2,6,H3N8,7.019632856,4.129053755
3,6,H3N8,6.418435346,4.553112714
4,6,H3N8,6.380860502,3.761357064
5,6,H3N8,5.817237836,0
6,6,H3N8,NA,NA
7,6,H3N8,3.433919134,2.448921428
8,6,H3N8,NA,NA
9,6,H3N8,3.780144486,0
10,6,H3N8,NA,NA
11,6,H3N8,0,0
12,6,H3N8,NA,NA
13,6,H3N8,NA,NA
14,6,H3N8,2.532122869,0
1,7,H3N8,0,4.695360339
2,7,H3N8,4.939596827,4.424284676
3,7,H3N8,7.049155948,5.444173309
4,7,H3N8,6.3191304,4.459175603
5,7,H3N8,6.17151494,3.917024276
6,7,H3N8,NA,NA
7,7,H3N8,2.754888018,2.502599777
8,7,H3N8,NA,NA
9,7,H3N8,2.805882449,0
10,7,H3N8,NA,NA
11,7,H3N8,3.023279763,0
12,7,H3N8,NA,NA
13,7,H3N8,NA,NA
14,7,H3N8,0,2.338880812
1,8,H3N8,0,4.322295812
